prompt,classname,classidx
"a photo of a 707-320, a type of aircraft.",707-320,0
"a photo of a 727-200, a type of aircraft.",727-200,1
"a photo of a 737-200, a type of aircraft.",737-200,2
"a photo of a 737-300, a type of aircraft.",737-300,3
"a photo of a 737-400, a type of aircraft.",737-400,4
"a photo of a 737-500, a type of aircraft.",737-500,5
"a photo of a 737-600, a type of aircraft.",737-600,6
"a photo of a 737-700, a type of aircraft.",737-700,7
"a photo of a 737-800, a type of aircraft.",737-800,8
"a photo of a 737-900, a type of aircraft.",737-900,9
"a photo of a 747-100, a type of aircraft.",747-100,10
"a photo of a 747-200, a type of aircraft.",747-200,11
"a photo of a 747-300, a type of aircraft.",747-300,12
"a photo of a 747-400, a type of aircraft.",747-400,13
"a photo of a 757-200, a type of aircraft.",757-200,14
"a photo of a 757-300, a type of aircraft.",757-300,15
"a photo of a 767-200, a type of aircraft.",767-200,16
"a photo of a 767-300, a type of aircraft.",767-300,17
"a photo of a 767-400, a type of aircraft.",767-400,18
"a photo of a 777-200, a type of aircraft.",777-200,19
"a photo of a 777-300, a type of aircraft.",777-300,20
"a photo of a A300B4, a type of aircraft.",A300B4,21
"a photo of a A310, a type of aircraft.",A310,22
"a photo of a A318, a type of aircraft.",A318,23
"a photo of a A319, a type of aircraft.",A319,24
"a photo of a A320, a type of aircraft.",A320,25
"a photo of a A321, a type of aircraft.",A321,26
"a photo of a A330-200, a type of aircraft.",A330-200,27
"a photo of a A330-300, a type of aircraft.",A330-300,28
"a photo of a A340-200, a type of aircraft.",A340-200,29
"a photo of a A340-300, a type of aircraft.",A340-300,30
"a photo of a A340-500, a type of aircraft.",A340-500,31
"a photo of a A340-600, a type of aircraft.",A340-600,32
"a photo of a A380, a type of aircraft.",A380,33
"a photo of a ATR-42, a type of aircraft.",ATR-42,34
"a photo of a ATR-72, a type of aircraft.",ATR-72,35
"a photo of a An-12, a type of aircraft.",An-12,36
"a photo of a BAE 146-200, a type of aircraft.",BAE 146-200,37
"a photo of a BAE 146-300, a type of aircraft.",BAE 146-300,38
"a photo of a BAE-125, a type of aircraft.",BAE-125,39
"a photo of a Beechcraft 1900, a type of aircraft.",Beechcraft 1900,40
"a photo of a Boeing 717, a type of aircraft.",Boeing 717,41
"a photo of a C-130, a type of aircraft.",C-130,42
"a photo of a C-47, a type of aircraft.",C-47,43
"a photo of a CRJ-200, a type of aircraft.",CRJ-200,44
"a photo of a CRJ-700, a type of aircraft.",CRJ-700,45
"a photo of a CRJ-900, a type of aircraft.",CRJ-900,46
"a photo of a Cessna 172, a type of aircraft.",Cessna 172,47
"a photo of a Cessna 208, a type of aircraft.",Cessna 208,48
"a photo of a Cessna 525, a type of aircraft.",Cessna 525,49
"a photo of a Cessna 560, a type of aircraft.",Cessna 560,50
"a photo of a Challenger 600, a type of aircraft.",Challenger 600,51
"a photo of a DC-10, a type of aircraft.",DC-10,52
"a photo of a DC-3, a type of aircraft.",DC-3,53
"a photo of a DC-6, a type of aircraft.",DC-6,54
"a photo of a DC-8, a type of aircraft.",DC-8,55
"a photo of a DC-9-30, a type of aircraft.",DC-9-30,56
"a photo of a DH-82, a type of aircraft.",DH-82,57
"a photo of a DHC-1, a type of aircraft.",DHC-1,58
"a photo of a DHC-6, a type of aircraft.",DHC-6,59
