prompt,classname,classidx
"a photo of a Abyssinian cat, a type of pet.",abyssinian,0
"a photo of a American Bulldog, a type of pet.",american bulldog,1
"a photo of a American Pit Bull Terrier dog, a type of pet.",american pit bull terrier,2
"a photo of a Basset Hound dog, a type of pet.",basset hound,3
"a photo of a Beagle dog, a type of pet.",beagle,4
"a photo of a Bengal cat, a type of pet.",bengal,5
"a photo of a Birman cat, a type of pet.",birman,6
"a photo of a Bombay cat, a type of pet.",bombay,7
"a photo of a Boxer dog, a type of pet.",boxer,8
"a photo of a British Shorthair cat, a type of pet.",british shorthair,9
"a photo of a Chihuahua dog, a type of pet.",chihuahua,10
"a photo of a Egyptian Mau cat, a type of pet.",egyptian mau,11
"a photo of a English Cocker Spaniel dog, a type of pet.",english cocker spaniel,12
"a photo of a English Setter dog, a type of pet.",english setter,13
"a photo of a German Shorthaired dog, a type of pet.",german shorthaired,14
"a photo of a Great Pyrenees dog, a type of pet.",great pyrenees,15
"a photo of a Havanese dog, a type of pet.",havanese,16
"a photo of a Japanese Chin dog, a type of pet.",japanese chin,17
"a photo of a Keeshond dog, a type of pet.",keeshond,18
"a photo of a Leonberger dog, a type of pet.",leonberger,19
"a photo of a Maine Coon cat, a type of pet.",maine coon,20
"a photo of a Miniature Pinscher dog, a type of pet.",miniature pinscher,21
"a photo of a Newfoundland dog, a type of pet.",newfoundland,22
"a photo of a Persian cat, a type of pet.",persian,23
"a photo of a Pomeranian dog, a type of pet.",pomeranian,24
"a photo of a Pug dog, a type of pet.",pug,25
"a photo of a Ragdoll cat, a type of pet.",ragdoll,26
"a photo of a Russian Blue cat, a type of pet.",russian blue,27
"a photo of a Saint Bernard dog, a type of pet.",saint bernard,28
"a photo of a Samoyed dog, a type of pet.",samoyed,29
"a photo of a Scottish Terrier dog, a type of pet.",scottish terrier,30
"a photo of a Shiba Inu dog, a type of pet.",shiba inu,31
"a photo of a Siamese cat, a type of pet.",siamese,32
"a photo of a Sphynx cat, a type of pet.",sphynx,33
"a photo of a Staffordshire Bull Terrier dog, a type of pet.",staffordshire bull terrier,34
"a photo of a Wheaten Terrier dog, a type of pet.",wheaten terrier,35
"a photo of a Yorkshire Terrier dog, a type of pet.",yorkshire terrier,36
